Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
Deutschsprachige Wikipedia,German,Latn,de,"16,897",16 March 2001,
Wikipédia en français,French,Latn,fr,"16,154",23 March 2001,
Wikipedia en español,Spanish,Latn,es,"13,407",20 May 2001,
ウィキペディア日本語版(Wikipedia nihongo-ban),Japanese,Jpan,ja,"12,682",20 May 2001,
Русская Википедия(Russkaya Vikipediya),Russian,Cyrl,ru,"8,716",20 May 2001,
Wikipédia em português,Portuguese,Latn,pt,"7,932",11 May 2001,
Wikipedia in italiano,Italian,Latn,it,"7,404",11 May 2001,
"Traditional Chinese: 中文維基百科,simplified Chinese: 中文维基百科(pinyin: Zhōngwén wéijī bǎikē)",Chinese (writtenvernacular Chinese),Hans/Hant,zh,"7,151",24 October 2002,
ویکی‌پدیای فارسی(Vikipediā-ye Fārsi),Persian,Arab,fa,"5,089",19 December 2003,
Polskojęzyczna Wikipedia,Polish,Latn,pl,"4,518",26 June 2001,
ويكيبيديا العربية(Wīkībīdiyā al-ʿarabiyya),Arabic,Arab,ar,"3,640",8 July 2003,
Nederlandstalige Wikipedia,Dutch,Latn,nl,"3,394",19 June 2001,
ויקיפדיה העברית(Vikipedya ha-ivrit),Hebrew,Hebr,he,"3,191",8 July 2003,
Українська Вікіпедія(Ukrayinsʹka Vikipediya),Ukrainian,Cyrl,uk,"2,666",30 January 2004,
Türkçe Vikipedi,Turkish,Latn,tr,"2,626",5 December 2002,
Wikipedia bahasa Indonesia,Indonesian,Latn,id,"2,439",30 March 2003,
Česká Wikipedie,Czech,Latn,cs,"2,095",3 May 2002,
Svenskspråkiga Wikipedia,Swedish,Latn,sv,"1,795",23 May 2001,
한국어 위키백과(Han-gugeo wikibaekgwa),Korean,Hang,ko,"1,777",11 October 2002,
Wikipedia tiếng Việt,Vietnamese,Latn,vi,"1,508",November 2002 (unknown day),
วิกิพีเดียภาษาไทย(Wi-ki-phi-dia pha-sa thai),Thai,Thai,th,"1,436",December 2003 (unknown day),
Magyar Wikipédia,Hungarian,Latn,hu,"1,411",8 July 2003,
Suomenkielinen Wikipedia,Finnish,Latn,fi,"1,378",21 February 2002,
Simple English Wikipedia,Simple English,Latn,simple,"1,334",18 September 2001,
हिन्दी विकिपीडिया(Hindī vikipīḍiyā),Hindi,Deva,hi,960,11 July 2003,
Viquipèdia en català,Catalan,Latn,ca,947,16 March 2001,
Norsk Wikipedia,Norwegian (Bokmål),Latn,no,918,26 November 2001,
বাংলা উইকিপিডিয়া(Bangla uikipiḍiẏa),Bengali,Beng,bn,896,26 January 2004,
Ελληνική Βικιπαίδεια(Ellinikí Vikipaídeia),Greek,Grek,el,895,1 December 2002,
Wikipedia în limba română,Romanian,Latn,ro,792,12 July 2003,
Википедија на српском језику(Vikipedija na srpskom jeziku),Serbian,Cyrl/Latn,sr,721,16 February 2003,
Oʻzbekcha Vikipediya(Ўзбекча Википедия),Uzbek,Latn/Cyrl,uz,683,21 December 2003,
Българоезична Уикипедия(Bǎlgaroezična Uikipediya),Bulgarian,Cyrl,bg,664,6 December 2003,
Wikipedia Bahasa Melayu(ويکيڤيديا بهاس ملايو),Malay,Latn,ms,660,26 October 2002,
Dansk Wikipedia,Danish,Latn,da,634,1 February 2002,
Azərbaycanca Vikipediya,Azerbaijani,Latn,az,576,January 2004 (unknown day),
Hrvatska Wikipedija,Croatian,Latn,hr,471,16 February 2003,
Eestikeelne Vikipeedia,Estonian,Latn,et,464,24 August 2002,
Slovenská Wikipedia,Slovak,Latn,sk,462,August 2003 (unknown day),
Հայերեն Վիքիպեդիա(Hayeren Vikʿipedia),Armenian,Armn,hy,459,July 2004 (unknown day),
Euskarazko Wikipedia,Basque,Latn,eu,307,6 December 2001,
Lietuviškoji Vikipedija,Lithuanian,Latn,lt,302,20 February 2003,
Vikipedio en Esperanto,Esperanto,Latn,eo,293,6 November 2001,
